id,name,isSoup,isSpicy,isSweet,isHot,isMeat,isNoodle,isRice,isBread
118,엠브로돈까스,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
119,직화 불막창,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120,돼지갈비 (250g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
121,C.연어.육회 무한 SET,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
122,청춘 세트(580g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,수플레 치즈케이크와 생크림,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
124,대감 낙곱새,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
125,숯불 소금구이,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
126,유자향 문어 냉채,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,철판제육볶음,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
128,제주 흑돼지 오겹(150g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
129,쭈삼겹살(1인분),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
130,샤워텐동,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
131,가래떡떡볶이,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
132,"추천
달빛크림라떼",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
133,소고기 공심채 덮밥,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
134,또봉이통닭,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
135,곱창볶음 (1인분),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
136,감자탕(소),TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
137,아채곱창,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
138,갈치조림,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
139,지중해식 오징어튀김,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
140,야채구이,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141,샐러드돈카츠,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
142,닭 한마리탕,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
143,부라타치즈,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144,깐쇼새우,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
145,오리지날치킨,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
146,급냉 삼겹살(170g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
147,오리주물럭(900g),FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
148,순대곱창볶음,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
149,아보명란마요김밥,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
150,해물순두부찌개,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
151,순대국,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
152,광어회 (소),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
153,해물탕 (소),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
154,"추천
소고기타다끼",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
155,굴라시,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
156,오리지날 프린스튼 후라이드 치킨,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
157,부추북어국,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
158,싱글세트A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
159,알리오 올리오 스파게티,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160,흑염소탕 (100g),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
161,돈까스,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
162,해물탕(중),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
163,꽃새우 회(소),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
164,족발,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
165,연포정식,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
166,황소곱창(250g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
167,감나무 점심특선,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
168,너트 티라노 블렌딩,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
169,닭매운탕,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
170,마가리타,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171,닭떡볶이(소),TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
172,"추천
꾸에이띠어우 느아",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
173,서울양념통닭,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
174,모듬초밥(10p),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
