id,name,external_star,address_id,business_date,starttime,fintime,bestmenu_id,franchise,internal_star,restaurant_type
2221,불타는 꼬꼬발 숭실대점,5.0,2110,"월,화,수,목,금,토,일",17:30,02:30,844,False,,
2222,가마솥장우왕족발,2.0,1845,null,null,null,921,False,,
2223,흥부골숯불돼지갈비,3.7,1567,"월,화,수,목,금,토,일",11:30,22:00,120,False,,
2224,이모네,3.9,2247,"월,화,수,목,금,토,일",08:00,22:00,128,False,,
2225,상도면옥,3.0,1607,"월,화,수,목,금",10:00,22:00,332,False,,
2226,한양옛날통닭,0,1390,"월,화,수,목,금,토,일",15:00,02:00,343,False,,
2227, 성대꼬치구이,4.8,1078,null,null,null,null,False,,
2228,좋은하루,0,1630,null,null,null,null,False,,
2229,오니기리와 이규동,4.3,495,null,null,null,null,True,,
2230, 교동 전선생,0,1940,null,null,null,1029,True,,
2231, 엉클(UNCLE),3.0,1842,null,null,null,null,False,,
2232,황가네 곱창볶음,0,484,null,null,null,null,False,,
2233,헤르젠,5.0,567,null,null,null,null,False,,
2234,비비엣,5.0,1321,"월,화,수,목,금,토",10:30,20:00,9,False,,
2235,뽀대닭발 동작점,5.0,465,"월,화,수,목,금,토,일",14:00,01:40,826,False,,
2236,청년다방,2.5,412,null,null,null,null,True,,
2237,파동추야,3.8,1723,null,null,null,330,False,,
2238,피자마루,5.0,444,"월,화,수,목,금,토,일",12:00,23:30,82,True,,
2239,리얼 후라이 숭실대점,4.6,495,"월,화,수,목,금,토,일",16:00,01:00,774,True,,
2240,미쳐버린파닭,0,997,"월,화,수,목,금,토,일",16:00,12:30,null,True,,
2241,솔가,5.0,95,null,null,null,null,False,,
2242,남서울식당,4.2,1525,null,null,null,568,False,,
2243,벙커,0,1901,null,null,null,null,False,,
2244,할머니칼국수,4.8,1741,null,null,null,758,False,,
2245, 찌개대학 부대과,4.7,2162,null,null,null,null,False,,
2246, 할머니 추어탕,3.1,2165,"월,화,수,목,금,토,일",10:00,21:00,806,False,,
2247, 시골밥상,0,1967,null,null,null,null,False,,
2248,맘스,0,1262,null,null,null,null,False,,
2249,훈이네식당,4.5,1616,null,null,null,136,False,,
2250, 신정 닭발,3.2,1516,"월,화,수,목,금,토,일",16:00,02:00,530,False,,
2251, 뚝배기 스파게티,3.5,1759,null,null,null,46,False,,
2252,피자나라 치킨공주,2.3,1319,"월,화,수,목,금,토,일",12:00,24:00,453,True,,
2253,성대순대촌,3.0,1220,null,null,null,299,False,,
2254,벌떡볶이,4.4,1885,null,null,null,995,False,,
2255,블랙조이커피,5.0,344,null,null,null,400,False,,
2256,마루스시,4.1,375,"월,화,수,목,금,토",12:00,22:00,955,False,,
2257,탕마루김치찌개(장승배기역점),5.0,844,null,null,null,362,False,,
2258,대윤파닭,0,869,null,null,null,null,False,,
2259, 상도두산위브아파트 피자알볼로 상도점,1.0,1673,"월,화,수,목,금,토,일",11:00,21:20,660,False,,
2260,부엌소리,0,132,null,null,null,null,False,,
2261,명성,4.7,1325,"월,화,수,목,금,토",11:30,22:00,39,False,,
2262,맛있는집 소풍,2.7,1268,null,null,null,null,False,,
2263,금강식당,0,2042,null,null,null,null,False,,
2264,오븐마루상도점,3.3,108,"월,화,수,목,금,토,일",15:00,01:00,787,False,,
2265,찜마을,0,304,null,null,null,null,False,,
2266,밀짚모자,5.0,768,"월,화,수,목,금,토,일",00:00,24:00,986,False,,
2267,카페에뚜(cafe e tu),0,1434,null,null,null,null,False,,
2268,미학당,4.6,156,"화,수,목,금,토",09:00,16:00,796,False,,
2269,푸드뱅크,0,1461,null,null,null,null,False,,
2270,썬더치킨,0,1794,null,null,null,null,True,,
2271,위고푸드 장승배기점,0,1349,null,null,null,null,False,,
2272,마망베베 키즈카페 &  킨더레고팡,3.0,2283,null,null,null,360,False,,
2273,피자혁명(본점),0,1837,null,null,null,null,False,,
2274,술탄,2.0,1876,null,null,null,null,False,,
2275,우리보쌈&밥상,4.7,1588,null,null,null,827,False,,
2276,가마로강정 숭실대역점,4.2,519,null,null,null,94,True,,
2277,우마이,3.7,1131,"월,화,수,목,금,토,일",11:30,20:00,911,False,,
